Title,Production Company,Genre,Runtime,Release Date,Year,Budget,Opening Amount,Total Gross,Revenue
Paul Blart: Mall Cop 2,Sony Pictures Releasing,Action,94.0,Apr 17,2015,38000000,23762435,71038190,107597242
The Hobbit: The Battle of the Five Armies,Warner Bros.,Action,144.0,Dec 17,2015,250000000,54724334,255119788,956019788
The Visit,Universal Pictures,Horror,94.0,Sep 11,2015,5000000,25427560,65206105,98450062
Daddy's Home,Paramount Pictures,Comedy,96.0,Dec 25,2015,50000000,38740203,150357137,242786137
The Wedding Ringer,Screen Gems,Comedy,101.0,Jan 16,2015,23000000,20649306,64460211,79799880
Into the Woods,Walt Disney Studios Motion Pictures,Fantasy,125.0,Dec 25,2015,50000000,31051923,128002372,212902372
Black Mass,Warner Bros.,Crime,122.0,Sep 18,2015,53000000,22635037,62575678,98837872
The Perfect Guy,Screen Gems,Drama,100.0,Sep 11,2015,12000000,25888154,57027435,60273173
Fantastic Four,Twentieth Century Fox,Action,106.0,Aug 7,2015,100000000,56061504,56117548,330579719
Fantastic Four,Twentieth Century Fox,Action,106.0,Aug 7,2015,100000000,25685737,56117548,330579719
Fantastic Four,Twentieth Century Fox,Action,100.0,Aug 7,2015,120000000,56061504,56117548,167977596
Fantastic Four,Twentieth Century Fox,Action,100.0,Aug 7,2015,120000000,25685737,56117548,167977596
Unbroken,Universal Pictures,Drama,137.0,Dec 25,2015,65000000,30621445,115637895,163442937
Insidious: Chapter 3,Focus Features,Drama,97.0,Jun 5,2015,10000000,22692741,52218558,104303851
Poltergeist,Twentieth Century Fox,Horror,114.0,May 22,2015,10700000,22620386,47425125,122200000
Poltergeist,Twentieth Century Fox,Horror,93.0,May 22,2015,35000000,22620386,47425125,95437994
The Hunger Games: Mockingjay - Part 1,Lionsgate,Science Fiction,123.0,Nov 21,2015,125000000,121897634,337135885,752100229
Big Hero 6,Walt Disney Studios Motion Pictures,Adventure,102.0,Nov 7,2015,165000000,56215889,222527828,652105443
Penguins of Madagascar,Twentieth Century Fox,Family,92.0,Nov 26,2015,132000000,25447444,83850911,373552094
Exodus: Gods and Kings,Twentieth Century Fox,Adventure,150.0,Dec 12,2015,140000000,24115934,65014513,268031828
Interstellar,Paramount Pictures,Adventure,169.0,Nov 5,2015,165000000,47510360,188020017,675120017
Gone Girl,Twentieth Century Fox,Mystery,145.0,Oct 3,2015,61000000,37513109,167767189,369330363
Dumb and Dumber To,Universal Pictures,Comedy,110.0,Nov 14,2015,40000000,36111775,86208010,169837010
Fury,Sony Pictures Releasing,War,135.0,Oct 17,2015,68000000,23702421,85817906,211817906
The Maze Runner,Twentieth Century Fox,Action,113.0,Sep 19,2015,34000000,32512804,102427862,348319861
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,Action,121.0,Aug 1,2015,170000000,94320883,333176600,773328629
The Equalizer,Sony Pictures Releasing,Thriller,132.0,Sep 26,2015,55000000,34137828,101530738,192330738
Moana,Walt Disney Studios Motion Pictures,Adventure,107.0,Nov 13,2015,150000000,56631401,2993,643034466
Finding Dory,Walt Disney Studios Motion Pictures,Adventure,97.0,Jun 17,2016,200000000,135060273,486295561,1028570889
Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,Action,133.0,Dec 16,2016,200000000,155081681,532177324,1056057273
Captain America: Civil War,Walt Disney Studios Motion Pictures,Adventure,147.0,May 6,2016,250000000,179139142,408084349,1153304495
The Secret Life of Pets,Universal Pictures,Animation,87.0,Jul 8,2016,75000000,104352905,368384330,875457937
The Jungle Book,Walt Disney Studios Motion Pictures,Family,78.0,Apr 15,2016,4000000,103261464,364001123,205843612
